SUBMIT DATE,count
2015-04-14,350
2015-04-15,379
2015-04-16,313
2015-04-17,259
2015-04-18,7
2015-04-19,13
2015-04-20,329
2015-04-21,337
2015-04-22,419
2015-04-23,280
2015-04-24,254
2015-04-25,4
2015-04-26,7
2015-04-27,280
2015-04-28,272
2015-04-29,336
2015-04-30,339
2015-05-01,251
2015-05-02,20
2015-05-03,19
2015-05-04,216
2015-05-05,394
2015-05-06,352
2015-05-07,298
2015-05-08,365
2015-05-09,2
2015-05-10,7
2015-05-11,324
2015-05-12,289
2015-05-13,289
2015-05-14,331
2015-05-15,379
2015-05-16,12
2015-05-17,64
2015-05-18,293
2015-05-19,330
2015-05-20,333
2015-05-21,239
2015-05-22,312
2015-05-23,18
2015-05-24,3
2015-05-25,83
2015-05-26,321
2015-05-27,265
2015-05-28,242
2015-05-29,396
2015-05-30,11
2015-05-31,20
2015-06-01,298
2015-06-02,377
2015-06-03,397
2015-06-04,391
2015-06-05,319
2015-06-06,1
2015-06-07,7
2015-06-08,265
2015-06-09,346
2015-06-10,355
2015-06-11,289
2015-06-12,289
2015-06-13,13
2015-06-14,2
2015-06-15,286
2015-06-16,320
2015-06-17,299
2015-06-18,342
2015-06-19,270
2015-06-20,12
2015-06-21,3
2015-06-22,268
2015-06-23,398
2015-06-24,260
2015-06-25,272
2015-06-26,287
2015-06-27,3
2015-06-28,1
2015-06-29,310
2015-06-30,419
2015-07-01,230
2015-07-02,264
2015-07-03,80
2015-07-04,7
2015-07-05,6
2015-07-06,288
2015-07-07,314
2015-07-08,348
2015-07-09,301
2015-07-10,327
2015-07-11,13
2015-07-12,16
2015-07-13,308
2015-07-14,299
2015-07-15,377
2015-07-16,357
2015-07-17,428
2015-07-18,19
2015-07-19,12
2015-07-20,315
2015-07-21,383
2015-07-22,355
2015-07-23,408
2015-07-24,321
2015-07-25,15
2015-07-26,14
2015-07-27,378
2015-07-28,323
2015-07-29,340
2015-07-30,316
2015-07-31,258
2015-08-01,5
2015-08-02,4
2015-08-03,283
2015-08-04,306
2015-08-05,388
2015-08-06,300
2015-08-07,342
2015-08-08,12
2015-08-09,3
2015-08-10,309
2015-08-11,309
2015-08-12,386
2015-08-13,309
2015-08-14,268
2015-08-15,4
2015-08-16,5
2015-08-17,303
2015-08-18,328
2015-08-19,359
2015-08-20,323
2015-08-21,303
